s,t,Open,High,Low,Close,Volume,Date
ok,1557964800,1248.12,1259.96,1246.29,1253.47,6669279,2019-05-16 05:30:00
ok,1558051200,1255.1,1264.96,1240.24,1255.5,7973312,2019-05-17 05:30:00
ok,1558310400,1301.26,1325.14,1291.26,1313.45,12450854,2019-05-20 05:30:00
ok,1558396800,1319.69,1354.16,1317.56,1327.22,14003553,2019-05-21 05:30:00
ok,1558483200,1333.01,1346.93,1322.56,1327.81,11394397,2019-05-22 05:30:00
ok,1558569600,1359.12,1378.93,1312.56,1321.37,17890512,2019-05-23 05:30:00
ok,1558656000,1335.34,1341.09,1304.14,1324.3,10277266,2019-05-24 05:30:00
ok,1558915200,1324.54,1324.94,1294.73,1298.34,7419390,2019-05-27 05:30:00
ok,1559001600,1307.41,1322.27,1301.02,1311.32,19657247,2019-05-28 05:30:00
ok,1559088000,1308.6,1320.78,1291.9,1300.72,7180255,2019-05-29 05:30:00
ok,1559174400,1303.89,1329.4,1303.89,1317.26,10842657,2019-05-30 05:30:00
ok,1559260800,1325.34,1329.3,1307.8,1317.66,11871657,2019-05-31 05:30:00
ok,1559520000,1322.46,1354.41,1308.79,1347.43,8564029,2019-06-03 05:30:00
ok,1559606400,1344.7,1361.35,1335.44,1338.96,7126834,2019-06-04 05:30:00
ok,1559779200,1349.11,1349.11,1308.69,1314.89,7736972,2019-06-06 05:30:00
ok,1559865600,1313.5,1314.79,1293.34,1302.55,6794397,2019-06-07 05:30:00
ok,1560124800,1308.5,1314.54,1297.8,1306.76,5431148,2019-06-10 05:30:00
ok,1560211200,1309.44,1321.97,1305.62,1316.67,5303592,2019-06-11 05:30:00
ok,1560297600,1322.17,1325.83,1312.56,1319.64,4752342,2019-06-12 05:30:00
ok,1560384000,1317.51,1322.17,1296.36,1314.79,7239167,2019-06-13 05:30:00
ok,1560470400,1309.49,1312.56,1297.1,1305.18,6896087,2019-06-14 05:30:00
ok,1560729600,1307.6,1307.6,1266.49,1270.26,6880161,2019-06-17 05:30:00
ok,1560816000,1266.89,1275.86,1257.18,1268.97,7751987,2019-06-18 05:30:00
ok,1560902400,1274.82,1289.77,1250.74,1265.36,6688410,2019-06-19 05:30:00
ok,1560988800,1267.98,1287.79,1266.0,1284.57,4960594,2019-06-20 05:30:00
ok,1561075200,1283.78,1283.83,1263.57,1267.49,10723798,2019-06-21 05:30:00
ok,1561334400,1260.2,1264.46,1245.3,1250.55,5199826,2019-06-24 05:30:00
ok,1561420800,1247.08,1285.81,1242.47,1283.68,6907224,2019-06-25 05:30:00
ok,1561507200,1278.88,1292.35,1274.27,1282.0,5350182,2019-06-26 05:30:00
ok,1561593600,1281.01,1284.72,1259.06,1262.19,11493903,2019-06-27 05:30:00
ok,1561680000,1265.11,1270.8,1236.92,1241.33,8741809,2019-06-28 05:30:00
ok,1561939200,1246.24,1260.7,1234.75,1256.94,6220492,2019-07-01 05:30:00
ok,1562025600,1261.99,1268.97,1251.44,1266.49,4682723,2019-07-02 05:30:00
ok,1562112000,1270.85,1274.42,1263.08,1270.51,4064196,2019-07-03 05:30:00
ok,1562198400,1269.37,1278.88,1267.98,1271.94,4315674,2019-07-04 05:30:00
ok,1562284800,1273.03,1278.38,1248.17,1251.49,5042697,2019-07-05 05:30:00
ok,1562544000,1246.19,1256.19,1236.48,1240.29,6465255,2019-07-08 05:30:00
ok,1562630400,1237.22,1271.45,1233.8,1268.08,8092750,2019-07-09 05:30:00
ok,1562716800,1268.03,1277.24,1256.79,1266.84,5546397,2019-07-10 05:30:00
ok,1562803200,1274.91,1277.69,1267.29,1269.52,3972766,2019-07-11 05:30:00
